id,name,party,sector,country
ul,Ursula v.d. Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
ng,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,,Recht,Deutschland
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,,Historik,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Niederlande
am,Andrij Melnyk,,Politik,Ukraine
ag,Alexander Graf,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
